condition_id,filename,candidate_keys_compared,canonical_filename,check,comparison_status,conflict_examples,conflicting_candidate_key_count,content_mismatch_pair_count,content_verified_pair_count,duplicate_exact_key_count,duplicate_exact_key_examples,duplicate_exact_key_excess_rows,duplicate_stage_pmid_examples,duplicate_stage_pmid_excess_rows,duplicate_stage_pmid_key_count,duplicates_absent,eligible_for_unambiguous_pairing,exact_pair_count,excess_expected_stage_records.Round 1: True Tag,excess_expected_stage_records.Round 2: Unrelated Tag,excess_expected_stage_records.Round 3: Similar Tag,expected,filenames,invalid_truth_count,key_fields_complete,left_condition,message,missing_candidate_count,missing_expected_stage_records.Round 1: True Tag,missing_expected_stage_records.Round 2: Unrelated Tag,missing_expected_stage_records.Round 3: Similar Tag,missing_or_invalid_truth_count,missing_pmid_count,missing_stage_count,observed,observed.interactive_results_BAB_swapped_full.json,observed.interactive_results_BAB_swapped_labels_full.json,passed,path,record_complete,right_condition,row_count,severity,source,stage_inferred_truth_count,stage_truth_conflict_count,stage_unique_counts.Round 1: True Tag,stage_unique_counts.Round 2: Unrelated Tag,stage_unique_counts.Round 3: Similar Tag,status,unique_exact_key_count,unique_stage_pmid_count,value
,baseline_nomanual_results_rejudge4B_full.json,,,full_file_unique_record_count,,,,,,,,,,,,,,,,,,3000,,,,,"baseline_nomanual_results_rejudge4B_full.json has the expected 3,000 unique (stage, pmid) records.",,,,,,,,3000,,,True,,,,,info,findings,,,,,,,,,
,baseline_withmanual_results_full.json,,,full_file_unique_record_count,,,,,,,,,,,,,,,,,,3000,,,,,"baseline_withmanual_results_full.json has the expected 3,000 unique (stage, pmid) records.",,,,,,,,3000,,,True,,,,,info,findings,,,,,,,,,
,baseline_withmanual_results_rejudge2B_full.json,,,full_file_unique_record_count,,,,,,,,,,,,,,,,,,3000,,,,,"baseline_withmanual_results_rejudge2B_full.json has the expected 3,000 unique (stage, pmid) records.",,,,,,,,3000,,,True,,,,,info,findings,,,,,,,,,
,baseline_withmanual_results_rejudge4B_full.json,,,full_file_unique_record_count,,,,,,,,,,,,,,,,,,3000,,,,,"baseline_withmanual_results_rejudge4B_full.json has the expected 3,000 unique (stage, pmid) records.",,,,,,,,3000,,,True,,,,,info,findings,,,,,,,,,
,interactive_results_BAB_swapped_full.json,,,full_file_unique_record_count,,,,,,,,,,,,,,,,,,3000,,,,,"interactive_results_BAB_swapped_full.json has the expected 3,000 unique (stage, pmid) records.",,,,,,,,3000,,,True,,,,,info,findings,,,,,,,,,
,interactive_results_BAB_swapped_labels_full.json,,,full_file_unique_record_count,,,,,,,,,,,,,,,,,,3000,,,,,"interactive_results_BAB_swapped_labels_full.json has the expected 3,000 unique (stage, pmid) records.",,,,,,,,3000,,,True,,,,,info,findings,,,,,,,,,
,interactive_results_full.json,,,full_file_unique_record_count,,,,,,,,,,,,,,,,,,3000,,,,,"interactive_results_full.json has the expected 3,000 unique (stage, pmid) records.",,,,,,,,3000,,,True,,,,,info,findings,,,,,,,,,
,pydantic_baseline_results_full.json,,,full_file_unique_record_count,,,,,,,,,,,,,,,,,,3000,,,,,"pydantic_baseline_results_full.json has the expected 3,000 unique (stage, pmid) records.",,,,,,,,3000,,,True,,,,,info,findings,,,,,,,,,
,pydantic_statement_results_full.json,,,full_file_unique_record_count,,,,,,,,,,,,,,,,,,3000,,,,,"pydantic_statement_results_full.json has the expected 3,000 unique (stage, pmid) records.",,,,,,,,3000,,,True,,,,,info,findings,,,,,,,,,
,statement_results_full.json,,,full_file_unique_record_count,,,,,,,,,,,,,,,,,,3000,,,,,"statement_results_full.json has the expected 3,000 unique (stage, pmid) records.",,,,,,,,3000,,,True,,,,,info,findings,,,,,,,,,
,pydantic_statement_results_full.json,,,pydantic_statement_unknown_count,,,,,,,,,,,,,,,,,,129,,,,,The documented 129 Unknown predictions are present.,,,,,,,,129,,,True,,,,,info,findings,,,,,,,,,
,asymmetric_titleonly_baseline_full.json,,,other_full_file_unknown_count,,,,,,,,,,,,,,,,,,0,,,,,asymmetric_titleonly_baseline_full.json has no Unknown predictions.,,,,,,,,0,,,True,,,,,info,findings,,,,,,,,,
,asymmetric_titleonly_interactive_aba_full.json,,,other_full_file_unknown_count,,,,,,,,,,,,,,,,,,0,,,,,asymmetric_titleonly_interactive_aba_full.json has no Unknown predictions.,,,,,,,,0,,,True,,,,,info,findings,,,,,,,,,
,asymmetric_titleonly_statement_full.json,,,other_full_file_unknown_count,,,,,,,,,,,,,,,,,,0,,,,,asymmetric_titleonly_statement_full.json has no Unknown predictions.,,,,,,,,0,,,True,,,,,info,findings,,,,,,,,,
,baseline_nomanual_results_full.json,,,other_full_file_unknown_count,,,,,,,,,,,,,,,,,,0,,,,,baseline_nomanual_results_full.json has no Unknown predictions.,,,,,,,,0,,,True,,,,,info,findings,,,,,,,,,
,baseline_nomanual_results_rejudge2B_full.json,,,other_full_file_unknown_count,,,,,,,,,,,,,,,,,,0,,,,,baseline_nomanual_results_rejudge2B_full.json has no Unknown predictions.,,,,,,,,0,,,True,,,,,info,findings,,,,,,,,,
,baseline_nomanual_results_rejudge4B_full.json,,,other_full_file_unknown_count,,,,,,,,,,,,,,,,,,0,,,,,baseline_nomanual_results_rejudge4B_full.json has no Unknown predictions.,,,,,,,,0,,,True,,,,,info,findings,,,,,,,,,
,baseline_withmanual_results_full.json,,,other_full_file_unknown_count,,,,,,,,,,,,,,,,,,0,,,,,baseline_withmanual_results_full.json has no Unknown predictions.,,,,,,,,0,,,True,,,,,info,findings,,,,,,,,,
,baseline_withmanual_results_rejudge2B_full.json,,,other_full_file_unknown_count,,,,,,,,,,,,,,,,,,0,,,,,baseline_withmanual_results_rejudge2B_full.json has no Unknown predictions.,,,,,,,,0,,,True,,,,,info,findings,,,,,,,,,
,baseline_withmanual_results_rejudge4B_full.json,,,other_full_file_unknown_count,,,,,,,,,,,,,,,,,,0,,,,,baseline_withmanual_results_rejudge4B_full.json has no Unknown predictions.,,,,,,,,0,,,True,,,,,info,findings,,,,,,,,,
,interactive_results_BAB_swapped_full.json,,,other_full_file_unknown_count,,,,,,,,,,,,,,,,,,0,,,,,interactive_results_BAB_swapped_full.json has no Unknown predictions.,,,,,,,,0,,,True,,,,,info,findings,,,,,,,,,
,interactive_results_BAB_swapped_labels_full.json,,,other_full_file_unknown_count,,,,,,,,,,,,,,,,,,0,,,,,interactive_results_BAB_swapped_labels_full.json has no Unknown predictions.,,,,,,,,0,,,True,,,,,info,findings,,,,,,,,,
,interactive_results_full.json,,,other_full_file_unknown_count,,,,,,,,,,,,,,,,,,0,,,,,interactive_results_full.json has no Unknown predictions.,,,,,,,,0,,,True,,,,,info,findings,,,,,,,,,
,pydantic_baseline_results_full.json,,,other_full_file_unknown_count,,,,,,,,,,,,,,,,,,0,,,,,pydantic_baseline_results_full.json has no Unknown predictions.,,,,,,,,0,,,True,,,,,info,findings,,,,,,,,,
,statement_results_full.json,,,other_full_file_unknown_count,,,,,,,,,,,,,,,,,,0,,,,,statement_results_full.json has no Unknown predictions.,,,,,,,,0,,,True,,,,,info,findings,,,,,,,,,
,,,,known_swapped_bab_normalized_duplicate,,,,,,,,,,,,,,,,,,identical normalized results arrays,,,,,The two swapped-BAB files have identical normalized results arrays.,,,,,,,,,a90433fbe43fd9690c5ec3645c997f429bad727081891006709f990eaaa67d16,a90433fbe43fd9690c5ec3645c997f429bad727081891006709f990eaaa67d16,True,,,,,info,findings,,,,,,,,,
,baseline_results_merged.json,,,physical_file_audit,,,,,,,,,,,,,,,,,,,,,,,"Expected 3000 unique (stage, pmid) keys, found 1189.",,,,,,,,,,,,,,,,warning,findings,,,,,,,,,
,interactive_results_merged.json,,,physical_file_audit,,,,,,,,,,,,,,,,,,,,,,,"Expected 3000 unique (stage, pmid) keys, found 1221.",,,,,,,,,,,,,,,,warning,findings,,,,,,,,,
,statement_results_merged.json,,,physical_file_audit,,,,,,,,,,,,,,,,,,,,,,,"Expected 3000 unique (stage, pmid) keys, found 1470.",,,,,,,,,,,,,,,,warning,findings,,,,,,,,,
,,,baseline_nomanual_results_full_rejudge2B.json,normalized_duplicate_files,,,,,,,,,,,,,,,,,,,"[""baseline_nomanual_results_full_rejudge2B.json"", ""baseline_nomanual_results_rejudge2B_full.json""]",,,,Normalized duplicate result arrays are represented by one canonical file.,,,,,,,,,,,,,,,,info,findings,,,,,,duplicate,,,
,,,baseline_nomanual_results_full_rejudge4B.json,normalized_duplicate_files,,,,,,,,,,,,,,,,,,,"[""baseline_nomanual_results_full_rejudge4B.json"", ""baseline_nomanual_results_rejudge4B_full.json""]",,,,Normalized duplicate result arrays are represented by one canonical file.,,,,,,,,,,,,,,,,info,findings,,,,,,duplicate,,,
,,,baseline_withmanual_results_full_rejudge2B.json,normalized_duplicate_files,,,,,,,,,,,,,,,,,,,"[""baseline_withmanual_results_full_rejudge2B.json"", ""baseline_withmanual_results_rejudge2B_full.json""]",,,,Normalized duplicate result arrays are represented by one canonical file.,,,,,,,,,,,,,,,,info,findings,,,,,,duplicate,,,
,,,interactive_results_BAB_swapped_labels_full.json,normalized_duplicate_files,,,,,,,,,,,,,,,,,,,"[""interactive_results_BAB_swapped_full.json"", ""interactive_results_BAB_swapped_labels_full.json""]",,,,Normalized duplicate result arrays are represented by one canonical file.,,,,,,,,,,,,,,,,info,findings,,,,,,expected_known_duplicate,,,
,,,,statement_rejudge_fixed_essays,controlled,,,0,3000,,,,,,,,,3000,,,,,,,,statement.robust_0.8B,,,,,,,,,,,,,,,statement.rejudge_2B,,info,findings,,,,,,,,,
,,,,interactive_aba_rejudge_fixed_transcript,controlled,,,0,3000,,,,,,,,,3000,,,,,,,,interactive.robust_0.8B.ABA,,,,,,,,,,,,,,,interactive.rejudge_2B.ABA,,info,findings,,,,,,,,,
,,,,interactive_bab_rejudge_fixed_transcript,controlled,,,0,3000,,,,,,,,,3000,,,,,,,,interactive.robust_0.8B.BAB,,,,,,,,,,,,,,,interactive.rejudge_2B.BAB,,info,findings,,,,,,,,,
,,,,bab_swapped_labels_fixed_physical_content,controlled,,,0,3000,,,,,,,,,3000,,,,,,,,interactive.robust_0.8B.BAB,,,,,,,,,,,,,,,interactive.robust_0.8B.BAB_swapped_labels,,info,findings,,,,,,,,,
